Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
MWC,Kurt Wegscheider,SO,G,New Mexico,19,238,49,7,13,1,12,20,47,0.486,0.556,0.3,0.727,2.5,2.6,0.4,0.7,0.1,12.7,0.5,-0.9
MWC,Destin Whitaker,FR,G,Fresno State,13,74,5,1,0,0,2,11,22,0.333,0.167,0.4,1,1.7,0.4,0.1,0,0,5.9,0.1,-7.2
MWC,Matthew Wickizer,FR,F,Utah State,9,11,4,0,0,0,2,3,0,,,,0,0,0.4,0,0,0,-12.2,0,-14.5
MWC,Marcus Williams,FR,G,Wyoming,25,777,63,107,34,6,75,52,369,0.452,0.529,0.33,0.705,14.8,2.5,4.3,1.4,0.2,18.3,2,-0.3
MWC,Sam Winter,,G,Boise State,2,2,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
MWC,Moses Wood,SO,F,Nevada-Las Vegas,27,599,113,21,13,26,26,63,164,0.431,0.508,0.366,0.839,6.1,4.2,0.8,0.5,1,14.5,1.8,0.2
MWC,Rollie Worster,FR,G,Utah State,26,718,99,92,24,6,64,58,236,0.406,0.481,0.284,0.804,9.1,3.8,3.5,0.9,0.2,12.7,2.2,1.5
MWC,Donavan Yap,,G,Nevada-Las Vegas,5,19,4,1,3,0,1,2,5,0.167,0.286,0,0.5,1,0.8,0.2,0.6,0,2.1,-0.1,-11.8
MWC,Trace Young,FR,G,Colorado State,7,8,0,0,0,0,1,1,0,0,,0,,0,0,0,0,0,-15.7,0,-17.9
MWC,Szymon Zapala,FR,C,Utah State,13,49,16,2,1,2,11,12,14,0.333,0.333,,0.5,1.1,1.2,0.2,0.1,0.2,3.8,0,-16.9
WCC,Chase Adams,SO,G,Portland,18,304,28,47,14,0,26,27,83,0.333,0.394,0.067,0.778,4.6,1.6,2.6,0.8,0,10,-0.1,-7.5
WCC,Ahmed Ali,SR,G,Portland,17,519,48,53,15,0,46,35,309,0.463,0.558,0.366,0.845,18.2,2.8,3.1,0.9,0,22.5,1.5,1.2
WCC,Ivan Alipiev,JR,F,Loyola Marymount,22,593,76,30,13,8,33,43,154,0.419,0.577,0.321,0.722,7,3.5,1.4,0.6,0.4,10.2,1.2,1.7
WCC,Sedrick Altman,SO,G,Pepperdine,26,730,88,54,20,12,37,61,210,0.506,0.57,0.235,0.585,8.1,3.4,2.1,0.8,0.5,11.9,1.5,1.2
WCC,Jalin Anderson,FR,G,Loyola Marymount,21,655,47,71,16,5,48,53,150,0.317,0.356,0.27,0.778,7.1,2.2,3.4,0.8,0.2,6.5,0.6,-1.3
WCC,Trevante Anderson,JR,G,San Francisco,4,17,0,2,0,0,0,4,5,0.5,1,0,0.75,1.3,0,0.5,0,0,13,0.1,-4.6
WCC,Martynas Arlauskas,SO,G,Gonzaga,17,40,5,1,1,0,2,1,2,0,0,,0.5,0.1,0.3,0.1,0.1,0,-0.4,0,-2.2
WCC,Brandon Averette,SR,G,Brigham Young,27,744,72,99,21,3,64,63,315,0.441,0.513,0.35,0.805,11.7,2.7,3.7,0.8,0.1,15.2,2.4,3.3
WCC,Joel Ayayi,JR,G,Gonzaga,32,1000,220,87,34,6,46,58,385,0.575,0.683,0.389,0.781,12,6.9,2.7,1.1,0.2,20.6,5.3,9.6
WCC,Jeremiah Bailey,SR,F,Pacific,18,557,111,20,30,6,34,52,206,0.431,0.518,0.338,0.84,11.4,6.2,1.1,1.7,0.3,17,1.8,3.1
WCC,Andre Ball,SO,G,Pepperdine,12,174,27,8,3,2,8,16,34,0.368,0.444,0.182,0.8,2.8,2.3,0.7,0.3,0.2,6.2,0.1,-3
WCC,Oumar Ballo,FR,C,Gonzaga,24,151,37,3,5,6,16,24,60,0.629,0.629,,0.552,2.5,1.5,0.1,0.2,0.3,16,0.6,-0.1
WCC,Alex Barcello,SR,G,Brigham Young,27,865,127,117,26,0,55,43,434,0.523,0.552,0.477,0.856,16.1,4.7,4.3,1,0,24.3,5.1,9.9
WCC,Luke Barrett,FR,G,Saint Mary's (CA),1,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,-3
WCC,Gavin Baxter,JR,F,Brigham Young,2,28,8,2,0,1,1,1,13,0.857,1,0,0.25,6.5,4,1,0,0.5,29,0.2,-6.4
WCC,Jaden Bediako,SO,C,Santa Clara,20,303,82,10,5,22,13,37,71,0.452,0.452,,0.5,3.6,4.1,0.5,0.3,1.1,14,0.8,0.6
WCC,Jordan Bell,SR,F,Pacific,18,461,124,16,21,16,14,52,161,0.455,0.535,0.333,0.571,8.9,6.9,0.9,1.2,0.9,18.8,1.7,4.6
WCC,Justin Bieker,FR,G,San Francisco,5,18,5,1,0,0,1,3,2,0.2,0.5,0,0,0.4,1,0.2,0,0,-5.1,0,-15.6
WCC,Leemet Bockler,FR,G,Saint Mary's (CA),8,88,12,1,1,2,7,9,44,0.441,0.5,0.423,1,5.5,1.5,0.1,0.1,0.3,17.8,0.3,1.9
WCC,Jamaree Bouyea,SR,G,San Francisco,25,843,91,94,39,6,59,50,432,0.5,0.559,0.37,0.754,17.3,3.6,3.8,1.6,0.2,22.8,3.6,6.4
WCC,Kyle Bowen,SO,F,Saint Mary's (CA),24,604,140,11,16,9,17,60,95,0.351,0.543,0.242,0.706,4,5.8,0.5,0.7,0.4,9.2,1.4,1.5
WCC,Jalen Brown,SO,G,Pacific,9,98,12,4,3,1,7,8,40,0.297,0.083,0.4,1,4.4,1.3,0.4,0.3,0.1,11.4,0.2,-2.4
WCC,Judah Brown,FR,F,Saint Mary's (CA),21,183,16,2,5,4,5,17,42,0.275,0.286,0.27,1,2,0.8,0.1,0.2,0.2,5.7,0.2,-0.5
WCC,Malachy Caffrey,FR,G,Pepperdine,1,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,-3.1
