Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
MWC,Nathan Mensah,SO,F,San Diego State,13,263,89,4,10,22,14,30,90,0.617,0.617,,0.64,6.9,6.8,0.3,0.8,1.7,24.5,1.5,8.4
MWC,Sam Merrill,SR,G,Utah State,32,1119,132,125,28,3,50,73,629,0.461,0.515,0.41,0.893,19.7,4.1,3.9,0.9,0.1,25,7.1,9.9
MWC,Brock Miller,SO,G,Utah State,34,892,79,34,16,1,37,55,285,0.352,0.464,0.305,0.828,8.4,2.3,1,0.5,0,8.7,2,-1.2
MWC,Kane Milling,FR,G,Nevada,31,366,44,26,10,1,18,38,71,0.324,0.414,0.267,0.55,2.3,1.4,0.8,0.3,0,5.7,0.3,-2.2
MWC,Greg Milton,SO,G,Wyoming,33,483,57,27,8,1,19,24,126,0.383,0.446,0.322,0.679,3.8,1.7,0.8,0.2,0,10,0.6,-2
MWC,Matt Mitchell,JR,F,San Diego State,32,825,154,55,34,11,54,91,390,0.468,0.523,0.393,0.873,12.2,4.8,1.7,1.1,0.3,22.6,4.7,7.6
MWC,Elijah Mitrou-Long,SR,G,Nevada-Las Vegas,19,598,62,65,33,5,39,49,240,0.461,0.551,0.345,0.745,12.6,3.3,3.4,1.7,0.3,18.9,2.1,5.7
MWC,Isaac Monson,SO,F,Air Force,12,61,17,3,0,1,5,6,18,0.625,0.667,0.5,0.875,1.5,1.4,0.3,0,0.1,15.8,0.2,-6.6
MWC,Kendle Moore,SO,G,Colorado State,32,970,71,69,42,0,38,62,288,0.458,0.508,0.435,0.724,9,2.2,2.2,1.3,0,13.9,2.7,3.6
MWC,Omari Moore,FR,G,San Jose State,31,598,72,55,30,14,48,37,151,0.504,0.614,0.235,0.735,4.9,2.3,1.8,1,0.5,12.5,0.6,-0.6
MWC,Tyler Morman,JR,F,Wyoming,2,28,5,1,0,1,1,5,2,1,1,,,1,2.5,0.5,0,0.5,5.6,0,-3.5
MWC,Caleb Morris,SR,G,Air Force,31,800,96,49,24,1,33,46,275,0.451,0.477,0.438,0.726,8.9,3.1,1.6,0.8,0,15.3,1.9,1
MWC,Austin Mueller,SO,F,Wyoming,12,186,16,5,1,1,8,23,15,0.333,0.368,0,0.333,1.3,1.3,0.4,0.1,0.1,-0.6,-0.1,-6.4
MWC,Carter Murphy,FR,G,Air Force,13,58,8,5,4,0,1,3,31,0.471,0,0.5,0.875,2.4,0.6,0.4,0.3,0,30.4,0.4,8.2
